Nº de abonados;Sexo;Edad;Tipo de abono;Centro deportivo;Mes
1;MUJER;19;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;22;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;39;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;44;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
4;MUJER;53;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;54;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;55;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;56;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;57;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;60;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
2;MUJER;61;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;64;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;ene-26
1;MUJER;16;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;18;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;21;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;22;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;24;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;49;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;50;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;54;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;55;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;59;ADM COMPLETO;Alfredo Goyeneche;ene-26
3;MUJER;60;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;61;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;62;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;66;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;68;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;69;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;73;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;78;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;MUJER;80;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;86;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;28;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;62;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;65;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;67;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;68;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;69;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;HOMBRE;70;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;HOMBRE;71;ADM COMPLETO;Alfredo Goyeneche;ene-26
2;HOMBRE;79;ADM COMPLETO;Alfredo Goyeneche;ene-26
1;MUJER;10;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;20;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;21;ADM FAMILIAR;Alfredo Goyeneche;ene-26
2;MUJER;23;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;24;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;28;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;31;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;38;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;49;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;54;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;57;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;MUJER;60;ADM FAMILIAR;Alfredo Goyeneche;ene-26
2;HOMBRE;18;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;20;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;22;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;23;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;26;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;29;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;33;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;42;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;50;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;55;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;55;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;63;ADM FAMILIAR;Alfredo Goyeneche;ene-26
1;HOMBRE;56;ADM FIN DE SEMANA;Alfredo Goyeneche;ene-26
1;MUJER;21;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;34;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;47;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;48;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;49;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;MUJER;52;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;53;ADM REDUCIDO;Alfredo Goyeneche;ene-26
3;MUJER;55;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;58;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;MUJER;59;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;60;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;61;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;63;ADM REDUCIDO;Alfredo Goyeneche;ene-26
6;MUJER;64;ADM REDUCIDO;Alfredo Goyeneche;ene-26
10;MUJER;65;ADM REDUCIDO;Alfredo Goyeneche;ene-26
6;MUJER;66;ADM REDUCIDO;Alfredo Goyeneche;ene-26
5;MUJER;67;ADM REDUCIDO;Alfredo Goyeneche;ene-26
5;MUJER;68;ADM REDUCIDO;Alfredo Goyeneche;ene-26
6;MUJER;69;ADM REDUCIDO;Alfredo Goyeneche;ene-26
8;MUJER;70;ADM REDUCIDO;Alfredo Goyeneche;ene-26
8;MUJER;71;ADM REDUCIDO;Alfredo Goyeneche;ene-26
6;MUJER;72;ADM REDUCIDO;Alfredo Goyeneche;ene-26
9;MUJER;73;ADM REDUCIDO;Alfredo Goyeneche;ene-26
4;MUJER;74;ADM REDUCIDO;Alfredo Goyeneche;ene-26
4;MUJER;75;ADM REDUCIDO;Alfredo Goyeneche;ene-26
3;MUJER;76;ADM REDUCIDO;Alfredo Goyeneche;ene-26
3;MUJER;77;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;78;ADM REDUCIDO;Alfredo Goyeneche;ene-26
3;MUJER;79;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;80;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;81;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;MUJER;82;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;58;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;62;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;63;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;64;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;65;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;66;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;67;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;HOMBRE;68;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;69;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;70;ADM REDUCIDO;Alfredo Goyeneche;ene-26
4;HOMBRE;71;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;72;ADM REDUCIDO;Alfredo Goyeneche;ene-26
3;HOMBRE;73;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;HOMBRE;74;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;75;ADM REDUCIDO;Alfredo Goyeneche;ene-26
3;HOMBRE;76;ADM REDUCIDO;Alfredo Goyeneche;ene-26
6;HOMBRE;77;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;HOMBRE;78;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;HOMBRE;79;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;HOMBRE;81;ADM REDUCIDO;Alfredo Goyeneche;ene-26
1;HOMBRE;85;ADM REDUCIDO;Alfredo Goyeneche;ene-26
2;MUJER;19;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;MUJER;20;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;MUJER;21;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
6;MUJER;22;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
6;MUJER;23;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;24;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;25;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;26;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;27;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;MUJER;28;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;29;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;31;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;34;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;35;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;37;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;38;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;40;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;41;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;42;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;43;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;MUJER;44;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;45;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;MUJER;46;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;47;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;48;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;49;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;50;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;MUJER;51;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
5;MUJER;52;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;53;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;54;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;55;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;57;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;58;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;59;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;MUJER;62;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;63;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;MUJER;64;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;18;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
13;HOMBRE;19;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
12;HOMBRE;20;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
5;HOMBRE;21;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
12;HOMBRE;22;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
10;HOMBRE;23;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
11;HOMBRE;24;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
12;HOMBRE;25;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;26;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
4;HOMBRE;27;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;28;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;30;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
5;HOMBRE;31;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;32;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;34;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;35;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;36;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;38;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;39;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;40;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;42;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
5;HOMBRE;43;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;45;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;48;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;49;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;50;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;51;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;52;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
5;HOMBRE;53;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;55;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;56;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;57;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;58;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;59;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;HOMBRE;60;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
2;HOMBRE;61;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;62;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
1;HOMBRE;64;ADM SALA MULTITRABAJO Y PISTA DE ATLETISMO;Alfredo Goyeneche;ene-26
3;MUJER;18;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;MUJER;19;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;21;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;MUJER;23;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;24;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;25;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;26;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;29;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;31;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;32;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;34;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;35;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;38;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;41;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;44;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;45;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;MUJER;46;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;MUJER;47;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;49;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;50;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;52;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;53;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;54;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;MUJER;55;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;56;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;57;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;58;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;60;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;61;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;63;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;64;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;65;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;MUJER;66;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;MUJER;67;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;68;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;69;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;MUJER;70;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;71;ADM USO LIBRE;Alfredo Goyeneche;ene-26
6;MUJER;72;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;MUJER;73;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;MUJER;74;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;MUJER;75;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;MUJER;78;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;83;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;84;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;86;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;17;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;18;ADM USO LIBRE;Alfredo Goyeneche;ene-26
6;HOMBRE;19;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;20;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;21;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;23;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;24;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;25;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;28;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;29;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;30;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;31;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;32;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;33;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;HOMBRE;36;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;37;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;39;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;40;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;41;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;42;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;43;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;44;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;45;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;46;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;50;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;HOMBRE;51;ADM USO LIBRE;Alfredo Goyeneche;ene-26
6;HOMBRE;52;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;HOMBRE;53;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;HOMBRE;54;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;55;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;HOMBRE;56;ADM USO LIBRE;Alfredo Goyeneche;ene-26
8;HOMBRE;57;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;58;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;HOMBRE;59;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;60;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;61;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;62;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;63;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;64;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;HOMBRE;65;ADM USO LIBRE;Alfredo Goyeneche;ene-26
8;HOMBRE;66;ADM USO LIBRE;Alfredo Goyeneche;ene-26
13;HOMBRE;67;ADM USO LIBRE;Alfredo Goyeneche;ene-26
9;HOMBRE;68;ADM USO LIBRE;Alfredo Goyeneche;ene-26
4;HOMBRE;69;ADM USO LIBRE;Alfredo Goyeneche;ene-26
6;HOMBRE;70;ADM USO LIBRE;Alfredo Goyeneche;ene-26
10;HOMBRE;71;ADM USO LIBRE;Alfredo Goyeneche;ene-26
11;HOMBRE;72;ADM USO LIBRE;Alfredo Goyeneche;ene-26
10;HOMBRE;73;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;HOMBRE;74;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;HOMBRE;75;ADM USO LIBRE;Alfredo Goyeneche;ene-26
8;HOMBRE;76;ADM USO LIBRE;Alfredo Goyeneche;ene-26
9;HOMBRE;77;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;78;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;79;ADM USO LIBRE;Alfredo Goyeneche;ene-26
5;HOMBRE;80;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;81;ADM USO LIBRE;Alfredo Goyeneche;ene-26
3;HOMBRE;82;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;83;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;85;ADM USO LIBRE;Alfredo Goyeneche;ene-26
2;HOMBRE;88;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;HOMBRE;89;ADM USO LIBRE;Alfredo Goyeneche;ene-26
1;MUJER;19;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;22;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;39;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;44;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
4;MUJER;53;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;54;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;55;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;56;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;57;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
2;MUJER;61;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;64;ADM ACTIVIDAD DIRIGIDA;Alfredo Goyeneche;feb-26
1;MUJER;18;ADM COMPLETO;Alfredo Goyeneche;feb-26
1;MUJER;19;ADM COMPLETO;Alfredo Goyeneche;feb-26
2;MUJER;20;ADM COMPLETO;Alfredo Goyeneche;feb-26
2;MUJER;22;ADM COMPLETO;Alfredo Goyeneche;feb-26
1;MUJER;29;ADM COMPLETO;Alfredo Goyeneche;feb-26
1;MUJER;31;ADM COMPLETO;Alfredo Goyeneche;feb-26
1;MUJER;48;ADM COMPLETO;Alfredo Goyeneche;feb-26
1;MUJER;49;ADM COMPLETO;Alfredo Goyeneche;feb-26
3;MUJER;55;ADM COMPLETO;Alfredo Goyeneche;feb-26
2;MUJER;59;ADM COMPLETO;Alfredo Goyeneche;feb-26
